title,type,genre,themes,mood,description,imdb_rating,my_rating,year
Spider-Man,movie,"action, adventure, superhero","responsibility, heroism, coming-of-age","inspiring, nostalgic",A teenager gains spider-like abilities and learns that great power requires great responsibility while fighting the Green Goblin.,7.4,7.2,2002
Spider-Man 2,movie,"action, adventure, superhero","sacrifice, identity, burden","emotional, heroic",Peter Parker struggles to balance his personal life with his duties as Spider-Man while facing the multi-limbed Doctor Octopus.,7.5,7.5,2004
Spider-Man 3,movie,"action, adventure, superhero","revenge, forgiveness, darkness","dramatic, intense","A strange black entity bonds with Peter, amplifying his dark side as he faces Sandman and a new Goblin.",6.3,6.5,2007
The Amazing Spider-Man,movie,"action, adventure, superhero","secrets, identity, science","moody, romantic",Peter Parker uncovers secrets about his father's past while facing a geneticist turned monster known as The Lizard.,6.9,6.3,2012
The Amazing Spider-Man 2,movie,"action, adventure, superhero","destiny, sacrifice, isolation","vibrant, tragic",Spider-Man faces the powerful Electro and his old friend Harry Osborn while struggling to protect Gwen Stacy from his dangerous life.,6.6,6.2,2014
Spider-Man: Homecoming,movie,"action, adventure, superhero","mentorship, growth, heroism","lighthearted, fun",Peter Parker tries to balance his ordinary high school life with his responsibilities as a hero under the watchful eye of Tony Stark.,7.4,7,2017
Spider-Man: Far From Home,movie,"action, adventure, superhero","deception, legacy, technology","adventurous, smart","While on a school trip to Europe, Peter is recruited by Nick Fury to uncover the mystery of several elemental creature attacks.",7.4,7.1,2019
Spider-Man: No Way Home,movie,"action, adventure, superhero","multiverse, consequences, redemption","epic, emotional","After his identity is revealed, Peter asks Doctor Strange for help, accidentally tearing open the multiverse and bringing in foes from other worlds.",8.2,8,2021
Batman Begins,movie,"action, crime, superhero","chaos, morality, justice","gritty, intense","After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",8.2,8.2,2005
The Dark Knight,movie,"action, crime, superhero","chaos, morality, justice","gritty, intense","Batman faces his greatest psychological test against the Joker, a mastermind seeking to plunge Gotham City into total anarchy.",9,8.8,2008
The Dark Knight Rises,movie,"action, crime, superhero","chaos, morality, justice","gritty, intense","Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",8.4,9,2012
Inception,movie,"sci-fi, action","dreams, reality, subconscious","mind-bending, heist",A skilled thief who steals secrets from within the subconscious is offered a chance to have his criminal record erased by performing inception.,8.8,9,2010
Interstellar,movie,"sci-fi, drama","space, time dilation, survival","emotional, mind-bending",A team of explorers travel through a wormhole in space to ensure humanity's survival while dealing with the relativity of time.,8.7,9.5,2014
Blade Runner 2049,movie,"sci-fi, mystery","artificial intelligence, memory, identity","atmospheric, melancholic","A young Blade Runner unearths a long-buried secret that leads him to track down former runner Rick Deckard, missing for thirty years.",8,8.6,2017
The Martian,movie,"sci-fi, adventure","survival, science, isolation","optimistic, tense","An astronaut becomes stranded on Mars after his team assumes him dead, relying on his ingenuity to find a way to signal Earth.",8,9,2015
Deadpool & Wolverine,movie,"action, comedy","multiverse, redemption, brotherhood","irreverent, high-energy",A listless Wade Wilson joins forces with a weary Wolverine on a mission that will change the history of the Marvel Cinematic Universe.,7.7,8.1,2024
